INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
schools: rather satisfied,"40,7","28,1","40,1","34,3","25,9","36,2","29,7","22,6","38,3","37,6","38,6","42,8","40,5","29,2","29,2","32,0","30,4","30,7","35,2","38,4","31,7","55,8","52,0","49,0","35,9","29,9","39,3","32,9"
schools: rather unsatisfied,"14,9","19,7","10,7","20,5","24,1","12,7","8,0","15,9","13,0","13,0","9,8","21,7","7,8","21,1","9,8","18,3","5,8","13,8","13,2","13,7","25,2","6,9","17,1","4,7","10,9","9,0","18,4","22,5"
schools: not at all satisfied,"5,4","20,9","2,0","5,0","9,2","1,8","4,4","37,1","6,4","4,8","1,6","5,7","5,2","10,1","4,5","4,6","2,2","3,0","4,9","8,8","15,9","3,6","2,2","0,2","2,8","9,0","7,3","17,8"
schools: no reply,"15,5","23,1","18,5","26,7","30,7","33,5","20,0","11,1","32,9","32,0","32,6","16,4","25,2","30,2","32,1","34,4","33,3","24,3","27,1","26,6","19,2","12,3","20,7","19,6","33,3","28,3","12,3","6,5"
schools: satisfied (rather+strong),"64,2","36,3","68,9","47,8","36,1","52,1","67,7","35,9","47,8","50,2","56,1","56,2","61,9","38,6","53,6","42,7","58,7","58,9","54,7","50,9","39,7","77,2","60,0","75,5","53,0","53,8","62,1","53,3"
schools: unsatisfied (rather+strong),"20,3","40,6","12,7","25,5","33,3","14,5","12,4","53,0","19,3","17,8","11,4","27,4","13,0","31,2","14,3","22,9","7,9","16,8","18,2","22,5","41,1","10,5","19,3","4,9","13,7","17,9","25,7","40,2"
Satisfied with hospitals (synthetic index 0-100),"88,1","36,0","72,7","82,5","79,8","60,4","46,7","45,3","69,3","70,9","79,4","49,7","47,0","35,6","82,6","49,0","90,2","90,0","40,6","56,0","29,2","72,1","50,8","71,7","82,6","67,6","52,8","52,5"
hospitals: very satisfied,"36,9","10,4","19,5","23,4","23,4","9,9","17,8","12,3","13,8","17,0","20,8","9,3","10,0","7,4","31,6","12,1","41,1","39,7","8,9","14,5","4,5","15,1","6,8","19,3","23,0","25,3","14,2","18,2"
hospitals: rather satisfied,"45,3","19,2","36,2","48,3","42,0","36,2","27,5","30,1","49,6","50,2","44,9","38,5","28,7","23,5","40,8","27,6","39,3","41,7","23,0","32,2","21,5","48,4","30,7","44,4","48,4","37,5","34,4","32,4"
hospitals: rather unsatisfied,"9,0","21,6","15,7","11,6","11,6","18,8","18,6","17,6","17,5","19,8","13,7","35,7","18,9","31,5","12,1","28,0","7,1","6,6","25,9","21,7","27,8","18,3","26,9","20,0","11,1","15,5","26,9","23,1"
hospitals: not at all satisfied,"2,1","31,0","5,2","3,6","5,0","11,5","33,1","33,5","10,6","7,8","3,3","12,6","24,7","24,5","3,1","13,3","1,6","2,4","20,8","15,1","35,2","6,4","9,4","5,2","4,0","14,5","16,6","22,7"
hospitals: no reply,"6,7","17,8","23,5","13,2","18,0","23,7","3,0","6,5","8,6","5,2","17,3","3,9","17,7","13,2","12,3","18,9","10,9","9,6","21,4","16,5","11,0","11,9","26,3","11,1","13,5","7,2","7,9","3,6"
hospitals: satisfied (rather+strong),"82,2","29,6","55,7","71,7","65,4","46,1","45,3","42,4","63,4","67,2","65,7","47,7","38,7","30,9","72,5","39,8","80,4","81,4","31,9","46,7","26,0","63,5","37,5","63,7","71,4","62,8","48,6","50,6"
hospitals: unsatisfied (rather+strong),"11,1","52,6","20,9","15,2","16,6","30,2","51,7","51,1","28,1","27,6","17,1","48,3","43,6","56,0","15,2","41,4","8,7","9,0","46,7","36,8","63,0","24,6","36,3","25,2","15,1","30,1","43,5","45,9"
Satisfied with doctors (synthetic index 0-100),"90,9","48,0","78,5","88,2","83,2","56,5","73,7","58,2","75,2","74,8","86,5","65,0","49,1","40,3","85,7","71,0","90,6","88,8","47,0","67,2","44,7","73,2","69,2","73,0","83,9","78,4","68,2","58,3"
doctors: very satisfied,"46,0","18,0","28,5","34,3","30,6","13,5","32,1","22,6","17,4","20,0","24,0","13,2","11,8","10,6","34,4","21,5","50,8","43,3","10,3","17,9","10,4","21,0","12,2","22,6","22,0","30,7","24,9","20,0"
doctors: rather satisfied,"41,8","27,4","42,8","50,8","49,8","38,8","40,7","32,1","54,6","51,7","55,6","50,1","33,9","27,3","44,3","45,7","36,1","42,5","31,7","40,3","32,0","48,9","53,2","45,4","52,4","44,4","41,5","36,4"
doctors: rather unsatisfied,"6,9","20,4","14,7","8,6","11,2","26,3","12,4","17,3","16,0","18,6","8,5","26,8","19,5","31,7","10,9","20,5","6,0","9,8","24,8","15,7","26,2","16,8","22,3","20,4","10,9","12,4","18,4","24,3"
